areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Jamaica Hills,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,,,
Kensington,Brooklyn,neighborhood,,1638,,,,,,,,,,,,,,,1850,1700,1500,,,,1225,1275,,1350,1300,1350,1300,,,1500,1600,1670,,1600,1498,1425,,,,1500,1488,1525,1575,1695,1700,1600,1550,1600,1675,1695,1695,1700,1609,1590,1590,1713,1590,1550,1575,1700,1750,1725,1700,1684,1657,1700,1700,1724,1700,1737,1650,1650,1650,1670,1700,1775,1775,1750,1725,1700,1700,1700,1697,1700,1720,1725,1735,1730,1749,1705,1698,1695,1700,1695,1700,1750,1775,1725,1750,1700,1750,1750,1750,1750,1795,1800,1795,1795,1785,1800,1750,1800,1700,1790,1850,1850,1800,1812,1800,1895,1895,1863,1800,1795,1759,1775,1775,1723,1750,1750,1735,1700,1700,1700,1750,1775,1750,1750,1895,1895,1800,1800,1800,1850,1850,1950,2000,2300,2188,2300,2300,2275,2200,2200,2200,2387,2338,2300,2350,2300,2249,2275,2225,2300,2275,2275,2300,2348,2230
Kew Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413,1650,1650,1600,1575,,,,,,1475,1438,1500,,1473,1450,1425,1450,1475,1575,1450,1450,1475,1500,1513,1650,1650,1650,1700,1650,1650,1625,1650,1675,1650,1650,1750,1775,1700,1750,1825,1775,1700,1713,1725,1750,1750,1700,1800,1800,1800,1838,1800,1795,1800,1800,1800,1785,1750,1793,1800,1798,1701,1750,1825,1800,1795,1845,1813,1788,1817,1845,1800,1750,1795,1800,1775,1700,1700,1700,1722,1750,1800,1800,1856,1825,1873,1850,1850,1825,1820,1750,1750,1813,1895,1838,1800,1800,1800,1800,1800,1775,1785,1773,1775,1775,1740,1795,1775,1750,1800,1800,1800,1825,1800,1800,1825,1850,1849,1850,1900,1975,1973,1875,1950,2100,2095,2095,2100,1990,2100,2100,2100,2200,2150,2100,2100,2280,2395,2350,2350,2275,2100,2300
Kew Gardens Hills,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1550,1550,1550,,,,,1875,1800,,1875,,1875,,1650,1975,,1838,,1846,1700,1850,1775,1999,1700,1700,1700,1700,1700,,1738,1725,1725,1738,1738,1750,1800,1850,,1800,1800,1813,1750,1700,1700,1725,1925,1825,1825,1825,1825,1850,1800,1800,1700,,1700,1725,1750,1750,1738,1775,,1750,1750,,,,1750,1700,,,,,,,1688,2175,1999,1995,1825,1999,1950,1800,1950,1999,1950,1999,2225,2200,,,,,,2100,,,,2400,2450,,,,,,,
Kingsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1750,1773,,,,,,1248,,,,,,,1150,1125,,,,,,1163,,1200,1200,,1200,,1400,1325,1273,1299,1348,1375,1348,1335,1325,1300,1317,1309,1300,1300,1400,1400,1400,1400,1400,1400,1375,1438,1450,1450,1500,1650,1525,1500,1500,1500,1500,1550,1550,1500,1500,1450,1499,1583,1575,1549,1500,1500,1500,1500,1550,1563,1565,1575,1565,1565,1575,1575,1550,1535,1598,1650,1650,1650,1675,1598,1595,1595,1663,1663,1620,1669,1700,1693,1686,1650,1650,1650,1699,1700,1699,1636,1700,1660,1650,1600,1600,1650,1700,1688,1650,1650,1650,1625,1650,1650,1638,1650,1775,1750,1850,1875,1875,1800,1750,1743,1800,1800,1895,1895,1895,1898,1850,2000,2000,2043,2000,1875,1885,1950,1985,1983,1900
Laconia,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurelton,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Italy,Manhattan,neighborhood,2800,2548,2323,2195,2200,2200,2195,2195,4400,3995,2895,2600,2425,2350,2500,2100,2100,2100,2200,2300,,2450,2350,,2400,2000,,,2100,2198,2148,2275,2300,2225,2500,3100,2600,2600,2575,2395,2445,2300,2163,2500,2600,2700,2550,3150,3150,3200,2950,2800,2498,2700,2800,2950,2348,2300,2300,2400,2450,2425,2400,2575,2300,2300,2399,2400,2995,2350,2375,2350,2250,2500,2675,2575,2688,2650,2650,2600,2600,2595,2450,2500,2500,2497,2500,2600,2600,2598,2463,2500,2450,2425,2548,2403,2395,2338,2350,2350,2495,2470,2450,2485,2463,2595,2450,2450,2500,2575,2525,3550,3075,2850,2850,2923,2925,2400,2300,2450,2599,3300,2490,2550,2690,2495,2490,2395,2495,2275,2415,2200,2200,2300,2000,2300,2200,2326,2500,2713,2738,2575,2700,2600,3075,3200,2750,4000,3243,3495,3300,3495,3648,3648,3700,3595,3250,2950,3240,3350,3500,4048,3495,3550,3495,3148,2685,2638,3300,3350,3050
Little Neck,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island City,Queens,neighborhood,2123,2112,2225,2301,2600,2655,2640,2633,2656,2650,2650,2580,2615,2588,2690,2750,2823,2810,2698,2800,2850,2775,2763,2675,2688,2900,2890,2930,2825,2835,2798,2810,2800,2833,2800,2750,2700,2750,2713,2855,2925,2920,2800,2795,2780,2650,2770,2765,2845,2835,2750,3004,2975,3000,2950,2933,2900,2985,2975,2988,3000,3020,2980,3000,2950,3000,3100,2995,3000,2950,2900,2930,2898,2954,3080,3090,3125,3137,3115,3035,2995,2935,2950,2924,3000,2983,2992,3048,3048,3085,3095,3115,3000,2839,2795,2800,2828,2892,2944,2933,3000,3102,3175,3210,3200,3100,3086,3086,3067,3084,3138,3200,3226,3270,3287,3346,3300,3295,3232,3227,3201,3195,3200,3158,3103,3024,2952,2850,2832,2960,3000,2971,3000,2998,2988,3000,3100,3175,3255,3400,3410,3450,3500,3600,3533,3600,3705,3850,3898,3850,3923,3914,3851,3760,3750,3768,3800,3850,3969,4031,4012,3860,3985,3995,4095,4000,3897,3850,3942,3899,4028
Longwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower East Side,Manhattan,neighborhood,1995,1975,1900,1850,2050,2100,2100,2025,2200,2300,2300,2250,2225,2250,2195,2100,2195,2198,2195,2200,2262,2285,2200,2100,2195,2395,2395,2450,2350,2350,2350,2350,2473,2395,2395,2395,2395,2395,2425,2400,2395,2395,2350,2300,2395,2295,2295,2395,2410,2493,2495,2495,2550,2550,2595,2595,2500,2450,2498,2500,2498,2525,2495,2495,2500,2650,2675,2650,2750,2600,2600,2650,2700,2663,2600,2595,2673,2700,2750,2750,2698,2588,2600,2495,2500,2600,2598,2600,2650,2549,2600,2650,2600,2500,2498,2500,2500,2495,2535,2600,2599,2650,2695,2725,2913,2800,2694,2700,2748,2800,2795,2705,2895,2898,2868,2900,3198,3198,2999,3200,3400,3700,3050,2900,2750,2650,2500,2495,2400,2350,2375,2300,2498,2495,2399,2400,2763,2900,2650,2800,3000,2950,3077,3195,3198,3599,3500,3500,3800,3498,3400,3200,3200,3195,3300,3495,3838,3883,3575,3738,3625,3550,3500,3497,3598,3195,3200,3400,3495,3495,3495
Manhattan,Manhattan,borough,2675,2650,2600,2700,2700,2750,2800,2800,2873,2850,2800,2800,2800,2850,2850,2895,2900,3000,2950,3000,3000,3000,3030,3000,3000,3000,3000,3025,3000,3000,3000,3000,3045,3000,3000,3050,3000,3100,3100,3100,3050,3000,3000,3100,3120,3100,3163,3175,3125,3150,3191,3200,3200,3180,3100,3095,3100,3100,3100,3150,3195,3200,3200,3200,3214,3250,3254,3300,3300,3250,3200,3250,3250,3250,3300,3300,3300,3290,3210,3198,3200,3200,3195,3195,3150,3200,3199,3200,3200,3195,3156,3200,3195,3150,3095,3125,3150,3100,3138,3100,3100,3150,3150,3119,3100,3150,3195,3204,3246,3250,3295,3330,3300,3350,3300,3310,3350,3400,3400,3400,3471,3495,3466,3350,3200,3050,2994,2891,2800,2750,2700,2700,2700,2750,2795,2800,2900,2895,2950,3000,3100,3250,3425,3575,3750,3800,3895,3995,3995,3904,3979,3900,3995,3975,3950,3990,4000,4150,4175,4250,4225,4195,4100,4050,4000,3995,3950,4000,4100,4200,4210
Manhattan Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marble Hill,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maspeth,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,1600,,,,,,1475,1562,,,,,,,,,,,,,,1550,,1638,1675,1650,,,1650,1625,,1600,1550,,1550,,,,,1650,1799,1700,1675,,,,1625,1600,,1600,1610,1700,1700,1600,,1600,1700,,,,1650,1699,1725,1698,1675,1763,,1625,1550,1600,1600,,1613,1700,1600,1650,1650,1700,,1875,,,1725,,1800,2150,2099,1873,1850,1974,1925,1999,1975,1850,1800,,2300,2100,1950,2200,2200,2150,2095,2150,2000,
Melrose,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,1800,1800,,,,,,,,,,,,,,,,,,,2175,,,,
Middle Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,1700,,1675,,,,,,,,,,,,,,,1695,1625,1695,1695,1675,,,,1673,1800,,1800,1800,,,,,,,1828,,,,,,,,,,,,,,,,2000,,,,1950,
Midtown,Manhattan,neighborhood,3250,3350,3400,3700,3500,3595,3500,3500,3500,3500,3500,3500,3598,3500,3500,3700,3695,3600,3850,3900,3750,3750,3700,3595,3600,3673,3650,3695,3700,3695,3795,3795,3700,3785,3800,3800,3698,3663,3675,3725,3698,3700,3750,3750,3700,3700,3625,3600,3695,3700,3798,3750,3750,3785,3750,3750,3750,3800,3850,3800,3800,3798,3800,3875,4000,3950,3970,3850,3800,3848,3790,3700,3677,3738,3725,3750,3800,3850,3895,3800,3795,3700,3617,3700,3600,3600,3600,3688,3744,3750,3700,3600,3682,3680,3617,3577,3600,3600,3595,3531,3669,3750,3700,3700,3640,3700,3695,3600,3677,3731,3814,3900,3950,3873,3912,3864,3898,3981,3800,3750,3685,3798,3800,3575,3450,3391,3295,3295,3200,3200,3183,3100,3100,3200,3305,3350,3500,3750,3773,3900,4200,4469,4415,4350,4663,4740,4600,4560,4669,4500,4500,4500,4500,4525,4639,4500,4656,4697,4600,4700,4606,4514,4650,4549,4575,4500,4425,4600,4509,4775,4600
Midtown East,Manhattan,neighborhood,2675,2675,2700,2795,2800,2800,2850,2900,2900,2850,2850,2850,2895,2895,2900,3000,3000,3045,3150,3100,3100,3100,3100,3025,3010,3095,3095,3100,3150,3150,3000,3100,3150,3100,3095,3100,3100,3195,3100,3100,3100,3200,3200,3200,3200,3200,3200,3250,3200,3200,3206,3250,3250,3295,3250,3250,3200,3200,3223,3260,3295,3300,3300,3300,3350,3400,3432,3350,3395,3295,3250,3300,3295,3357,3395,3395,3400,3398,3350,3300,3300,3295,3295,3300,3295,3350,3395,3395,3385,3350,3300,3295,3275,3295,3185,3200,3204,3277,3250,3300,3305,3323,3346,3369,3395,3369,3400,3410,3398,3400,3479,3499,3495,3495,3500,3500,3500,3494,3500,3487,3500,3500,3500,3400,3239,3100,3000,2933,2850,2800,2800,2800,2800,2900,2991,3075,3200,3250,3500,3500,3695,3650,3875,3900,3995,4100,4100,4133,4100,4040,4200,4000,4025,4000,3995,3950,4033,4150,4175,4295,4300,4300,4250,4295,4295,4120,4000,4065,4199,4195,4250
Midtown South,Manhattan,neighborhood,2900,2900,3000,3250,3330,3250,3300,3300,3250,3220,3250,3300,3300,3300,3300,3300,3350,3400,3300,3350,3298,3300,3490,3400,3500,3300,3213,3300,3600,3695,3600,3500,3550,3500,3500,3496,3450,3500,3473,3450,3500,3500,3550,3550,3573,3640,3645,3550,3525,3650,3595,3700,3795,3750,3700,3795,3780,3745,3895,3895,3830,3800,3950,3950,3950,3950,3950,4000,4056,4000,3965,3997,4015,4056,4050,3995,4015,4000,4015,4015,4089,4050,4035,4000,3965,4000,4100,4050,3995,3965,4015,4050,4050,4000,3733,3750,3600,3600,3667,3698,3750,4200,3995,4095,3995,3965,3898,4024,4033,4025,4057,4017,4137,4094,4230,4200,4155,4099,4108,4295,4148,4285,4320,3942,3795,3713,3561,3400,3495,3500,3231,3188,3393,3585,3663,3873,3995,4150,4450,4482,4625,4741,4695,4845,5000,4845,4758,4979,5162,5352,5300,5112,4973,4898,4924,4897,4897,4996,5000,5100,5090,5200,5000,5029,4995,4895,4745,4825,5000,5100,5300
Midtown West,Manhattan,neighborhood,2650,2690,2650,2687,2794,2829,3000,2950,2983,3000,2950,2900,2900,2995,3060,3100,3200,3100,3200,3200,3200,3150,3190,3195,3100,3015,3200,3238,3260,3293,3290,3250,3295,3300,3350,3340,3250,3225,3293,3295,3290,3300,3250,3300,3295,3275,3275,3300,3300,3350,3425,3450,3475,3495,3450,3400,3398,3400,3400,3400,3321,3350,3400,3400,3500,3500,3480,3480,3400,3375,3300,3315,3250,3300,3370,3488,3500,3495,3400,3380,3350,3319,3300,3282,3288,3363,3295,3400,3450,3450,3450,3483,3323,3295,3290,3295,3329,3315,3322,3375,3410,3440,3400,3450,3495,3450,3414,3500,3430,3500,3534,3563,3600,3625,3662,3684,3620,3647,3600,3596,3568,3600,3593,3458,3314,3167,3000,2925,2850,2900,2826,2800,2917,2896,2995,3050,3120,3295,3595,3515,3750,3850,3995,4059,4198,4195,4297,4315,4468,4490,4408,4173,4195,4126,4150,4180,4250,4282,4350,4410,4428,4450,4390,4300,4147,4050,4090,4170,4295,4350,4495
Midwood,Brooklyn,neighborhood,,,,,,,,,,,,,,1275,1288,1300,1300,1374,1349,1325,1300,1300,1300,1250,1300,1300,1300,1300,1375,1363,1375,1300,1300,1300,1300,1325,1316,1300,1275,1273,1275,1325,1313,1350,1315,1350,1350,1295,1298,1350,1350,1350,1385,1400,1450,1450,1450,1450,1400,1425,1400,1450,1450,1450,1485,1499,1500,1500,1500,1500,1525,1525,1550,1550,1545,1538,1558,1549,1625,1595,1575,1575,1550,1595,1608,1600,1650,1600,1600,1600,1600,1595,1600,1600,1600,1600,1650,1600,1650,1625,1625,1650,1650,1700,1700,1700,1685,1650,1630,1650,1700,1725,1750,1725,1700,1725,1675,1725,1725,1750,1800,1850,1808,1825,1825,1800,1750,1750,1725,1700,1699,1699,1675,1650,1650,1663,1694,1700,1775,1743,1775,1700,1775,1775,1825,1799,1795,1775,1875,1999,1825,1813,1900,2271,1975,2000,1899,2250,2325,2281,2350,2200,2200,2000,1988,2376,2300,2250,2000,2185,2300
Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
